years,salary
4,2200
11,6247
6,3584
7,2008
5,4882
6,656
4,868
4,535
11,3669
8,926
8,5179
9,3969
2,3995
1,1925
9,2938
12,1524
6,4953
2,6072
1,906
1,1864
9,1024
6,1905
10,1367
5,3487
3,1157
7,4246
7,787
12,2484
1,2756
1,2893
7,2040
5,6475
11,1966
7,2405
5,5332
6,5129
4,540
10,853
1,3057
10,6001
5,2206
2,2032
9,3961
9,3882
12,571
2,2990
12,4689
8,4214
2,6072
3,3276
7,4168
12,5426
10,5126
2,833
7,794
2,4954
2,3346
8,3972
6,2693
7,4694
4,4602
5,3259
7,4894
12,1787
9,1109
2,3282
7,6108
2,2714
6,5529
10,991
12,4547
3,1120
11,4498
2,4931
5,2168
10,2951
12,993
1,1434
8,548
7,5466
5,3224
5,5633
5,1238
12,4609
8,5913
9,2552
6,4461
11,3886
5,2945
6,2556
8,4173
7,4684
7,6233
10,3069
2,4991
6,5270
12,5142
10,3037
4,6021
9,3339
6,3499
1,2876
9,6563
8,4862
2,3353
7,2818
2,4950
11,559
12,1732
2,2047
12,4273
2,903
12,538
6,5844
9,1499
1,2021
7,2692
4,1759
9,5886
6,2024
7,2114
6,4235
7,5316
3,2574
12,4046
1,2779
12,573
12,718
8,3478
2,3268
12,535
10,3919
12,2608
6,6600
10,897
11,3383
11,4626
1,3460
6,3853
5,6136
7,6102
8,3866
3,2943
9,4172
10,6522
8,5278
5,6487
3,5835
8,1177
12,3328
2,4399
8,6486
4,4593
12,3298
11,6178
9,1783
1,3163
1,1836
8,5772
7,619
1,6224
7,6217
6,3027
2,5056
10,1183
3,1785
9,5226
5,4946
6,4929
5,4096
9,4422
9,3686
2,3758
5,3565
10,1167
4,4594
12,945
7,1758
6,3089
8,4477
6,5447
10,5707
7,5431
4,6297
6,5883
9,5864
12,5874
11,818
7,1962
4,6611
11,809
4,2873
10,1736
2,2201
8,4324
2,5045
9,5597
11,4774
4,968
8,5747
12,5012
5,6020
6,1249
9,3020
1,3232
7,2602
3,4926
2,6478
5,1404
9,3629
11,5593
4,4350
9,3803
11,1157
4,4023
2,4641
3,5357
3,3175
8,894
9,3754
9,3752
4,4313
2,4760
6,5194
4,4250
11,6012
10,3721
7,1887
5,3781
9,5661
10,3636
1,6263
12,5628
9,3093
9,5549
8,3320
9,1911
8,3158
1,5790
7,1179
3,2591
8,4246
9,1417
6,6452
11,1122
12,3884
7,4488
1,4271
7,6615
10,549
2,6154
12,4861
4,1904
9,5549
11,2041
3,2001
3,2337
6,1451
5,4436
11,4885
5,3379
7,4657
8,3861
6,2547
4,2709
2,4766
11,4355
9,5982
6,1065
2,4942
1,4033
4,3341
6,4310
12,3791
1,5308
12,5609
8,983
11,2157
3,1816
7,6321
1,2466
2,2393
5,2700
9,3665
10,4611
10,5866
7,1961
10,1756
11,2848
2,750
9,4750
2,3866
5,1572
2,4899
12,3858
1,2592
9,3942
9,2809
1,2518
3,4932
4,2412
4,564
7,5765
1,4030
7,5428
7,5577
4,846
12,4031
2,5945
6,5918
11,6353
8,2347
6,4792
2,609
9,4121
2,3467
2,5361
3,5437
1,2352
12,1780
2,3049
1,5526
8,1479
12,6353
5,2912
3,3600
1,3607
5,6448
5,1434
2,528
1,4331
1,5457
9,1837
9,900
1,673
1,723
2,3284
4,4663
5,1097
2,2428
8,4475
8,917
4,5009
3,2636
2,5041
5,1807
2,3539
9,4243
12,5944
6,1373
6,5677
10,2505
5,1310
4,2622
11,2000
9,4169
5,1340
9,4414
1,3344
8,4712
3,6219
9,3607
5,4232
4,5021
5,6642
9,3042
12,1112
4,3951
4,6444
8,4665
10,4085
5,4054
2,2243
12,1740
11,3923
10,1349
9,1592
4,874
4,1875
2,2649
2,2818
3,5504
6,2099
6,3684
1,5425
5,2224
1,604
7,2025
2,997
5,4271
4,1386
5,3400
8,1403
7,6656
9,3193
7,5822
3,5147
9,3030
11,6331
10,5890
