years,salary
9,1811
3,2528
12,1949
3,6274
1,5246
3,3610
1,1957
9,5807
3,3982
2,4300
7,5318
1,5666
5,2631
6,579
1,2528
7,4471
4,1401
6,6623
7,5978
12,5615
1,538
12,5923
7,5172
6,2245
7,5748
3,4928
6,5737
7,3004
11,4484
6,4680
1,6113
8,2038
7,3147
8,3334
5,546
10,4976
5,6046
6,3550
3,3139
12,4187
3,3920
2,2541
11,5298
1,5760
8,3721
3,5231
4,6520
5,4695
7,4300
3,3897
2,2615
10,533
5,5219
3,5934
1,3751
11,5191
12,5082
6,2801
8,5216
10,5735
7,3187
9,2450
12,765
8,6600
4,5439
3,6168
12,3819
9,4273
10,671
9,1947
4,3998
10,2898
11,3099
9,2286
5,4737
6,6226
9,930
4,3483
10,5003
5,1612
11,5501
3,1601
9,5164
1,655
10,6490
7,1119
10,1437
12,3075
1,1955
4,2731
6,4201
11,5510
6,1215
7,5705
4,2773
5,6378
3,3380
11,4319
3,577
8,3618
3,6392
12,5960
10,5997
1,1739
1,3179
2,4089
2,4021
12,5606
9,1488
8,6664
5,5038
12,6497
3,6687
12,5615
12,2545
2,5042
6,5956
10,678
6,2525
3,949
5,3814
7,2866
8,2719
11,5776
4,1229
8,4289
11,1368
6,4201
8,1201
12,6168
8,6517
10,3527
11,4599
5,1305
1,2436
2,3376
5,3033
3,5591
1,2556
2,1136
3,4988
6,1102
9,4432
3,5274
8,711
4,3635
4,3937
9,3593
7,4670
8,4816
12,4105
4,3142
8,795
12,2474
5,1471
9,4730
11,6239
2,4057
5,3322
2,1933
2,6616
5,732
5,6670
11,3832
4,1196
3,2985
9,2401
12,3870
2,4811
3,4675
3,2886
9,6608
12,1553
2,3557
5,943
9,6280
8,3519
6,3468
9,6559
7,4234
10,2725
10,4599
10,6331
2,6022
3,5458
9,1203
6,5231
1,5605
10,6660
4,1240
5,6398
8,5029
6,1491
10,536
8,2377
7,3303
8,6480
5,1418
9,6082
9,834
11,6688
4,4509
4,4071
4,3867
6,5271
8,2066
10,3164
12,893
4,3720
7,6621
7,2905
9,1021
11,2810
7,6508
8,3626
10,3264
8,3216
2,5573
5,1807
2,694
9,1467
12,4759
4,4824
11,3569
9,3957
4,5147
3,1459
4,1045
1,871
4,1717
7,3786
5,1464
4,1229
3,1460
6,748
5,940
11,2759
7,3585
12,774
2,1136
3,4914
11,3585
5,4230
9,2005
1,1270
2,4313
2,1823
3,4498
5,2238
12,1633
8,4964
6,3198
3,2920
11,2163
8,530
3,3826
3,5129
10,1636
10,5963
8,769
9,2118
2,3165
6,5049
5,6180
8,4124
12,595
6,5735
7,2263
9,2694
5,2447
1,4026
12,701
7,2425
8,4975
8,4912
7,5680
11,4853
3,612
5,5575
6,942
11,5067
8,6006
5,2963
11,1862
10,4896
2,4347
3,807
4,5502
7,4489
7,6347
9,2221
4,5717
6,2870
10,742
3,4682
11,5687
1,1679
11,841
6,5902
10,1521
7,1249
6,751
10,6383
6,637
5,2108
2,1002
6,3523
3,5566
6,4105
2,4963
9,4852
10,2875
12,4638
9,6422
11,3386
11,4979
2,1108
1,5742
9,3413
7,1930
11,3669
8,3886
9,6356
3,6691
10,5087
10,4158
4,1272
7,2963
11,6387
1,2840
2,4312
3,4585
8,6524
12,3662
1,1982
6,4520
9,3165
2,6272
7,6178
2,5151
9,2134
10,6148
3,1371
6,6012
10,3549
9,2696
9,1044
2,653
11,2323
12,2835
11,2482
11,3452
3,5523
6,6456
5,820
2,2266
12,4135
4,3906
5,2775
11,1350
11,4074
9,5543
7,807
9,1130
7,552
12,3751
1,3098
11,1422
4,3302
9,2629
12,4843
4,1539
7,1282
11,2070
6,4195
12,6136
8,1920
11,2763
1,6055
1,5944
2,1838
1,865
2,2442
2,3404
5,5437
4,5625
1,5575
10,6461
8,4985
2,5472
10,1157
10,1689
4,1504
9,1037
4,5138
8,2563
11,6331
9,765
5,4647
3,6086
