years,salary
12,1087
1,2428
5,6416
9,1976
7,1505
4,2075
8,1539
7,3482
4,4335
6,2562
3,1234
6,550
12,3827
2,1257
8,6339
8,1772
1,4241
2,2287
4,5505
8,5442
8,2933
10,2009
6,3464
1,944
10,2028
11,4458
10,4264
6,1290
1,724
5,5137
2,1025
9,5384
11,4709
10,3552
1,3344
4,5316
10,2899
8,3856
6,5573
1,3479
7,5031
8,583
6,1994
10,4553
4,5332
9,5534
5,1678
1,2515
8,1830
10,4559
4,6169
1,5969
6,5858
12,843
7,5600
4,2270
8,6402
12,6518
11,1166
9,2576
8,6454
12,4882
6,6070
6,4347
4,751
3,2248
8,2038
6,1117
9,1180
5,2231
11,4452
2,1357
1,2141
4,5240
5,1070
9,1105
9,4662
5,4858
8,4192
4,4469
10,2882
2,2331
11,1308
7,3556
9,2535
7,3359
4,4586
11,6336
12,6298
10,6676
10,5763
8,875
3,6440
3,1781
8,1463
5,1965
12,2980
7,3305
11,3031
12,5763
9,1999
3,3179
11,6113
9,983
8,2481
11,1185
3,4339
3,3416
11,1528
5,3895
6,4937
11,5272
8,5767
11,3519
8,6393
5,5480
7,902
7,2624
12,607
9,880
5,794
10,4610
12,566
11,6364
9,1543
6,620
6,3964
12,6093
6,5347
5,1143
4,6000
11,3598
3,4816
11,3618
5,2779
9,3743
4,653
12,5650
11,5660
6,5627
1,4138
8,3914
7,3487
1,6168
11,925
9,4415
6,4993
7,2184
7,3657
4,4059
7,6258
2,605
10,2108
6,5726
5,4874
8,2622
7,5924
11,3155
6,5216
5,6072
6,4362
10,3171
5,6384
1,2215
6,5981
1,1734
8,2942
10,1884
6,5661
9,4704
3,2162
7,6187
8,4723
6,6094
7,5622
3,3111
10,2589
1,1686
1,1006
4,6020
7,4128
11,1732
10,1190
9,6672
8,607
9,4275
4,3570
9,2035
12,1161
3,4581
3,6485
5,4169
10,1369
11,3995
9,4138
2,1064
1,6426
6,633
6,2633
4,2435
12,4490
5,545
2,6548
2,1231
5,6675
5,4936
11,5188
5,6519
10,1593
2,1430
7,2028
7,5299
2,5142
3,2548
3,2648
5,1611
1,2634
6,5851
5,522
6,2300
6,1510
3,5563
4,861
10,1413
10,1980
11,1718
12,4494
9,4492
7,1372
12,1078
3,2477
1,1647
2,3613
3,2526
8,5817
9,2619
11,864
8,1485
12,708
2,6239
3,2670
3,1961
10,4960
2,1677
8,1185
6,1706
3,5715
1,3603
4,5494
10,4145
6,3900
8,2595
8,3500
3,1099
2,1433
5,4220
7,1204
10,2641
10,5477
10,1377
4,1897
6,543
10,5523
12,5811
4,1346
9,5616
7,4269
4,3519
2,2045
10,1667
8,518
10,5113
2,4771
11,1867
4,4130
4,2864
8,6157
7,1630
5,4331
5,3725
5,1226
8,4965
3,1292
9,1916
6,3758
9,3260
10,5250
11,2392
8,2185
12,5455
2,3691
12,3421
2,5365
3,2779
9,1319
8,2313
5,4052
4,6379
8,6275
7,6110
5,3024
4,4892
3,5336
8,749
6,2756
1,5830
6,5618
4,1582
1,1249
8,6449
3,1434
11,3136
7,3657
2,5947
5,4920
11,6508
8,2829
9,2498
3,1274
2,4089
12,3880
5,1101
8,1934
9,6550
5,3082
6,4349
9,3223
9,5306
2,6429
5,1668
7,5092
11,5144
7,6031
1,2523
10,782
3,3234
12,2111
2,2040
3,1474
11,2619
9,4386
3,2998
11,1585
3,794
6,3261
12,5277
8,3071
8,2231
6,3862
11,636
5,1908
8,5570
5,956
5,3127
8,651
3,5627
9,3767
6,1929
4,4968
6,1330
11,4240
5,4555
7,2955
4,5371
6,6084
8,3148
1,2325
10,3258
1,3663
5,2599
9,1602
10,4101
10,961
10,2718
5,6204
9,1072
1,4735
9,1473
3,2178
7,5754
6,6185
5,1934
7,5750
4,5653
2,5110
12,1731
1,6115
12,2895
4,2085
2,6520
10,5898
12,4275
5,5021
11,3432
6,6416
9,790
4,4900
5,3858
7,2036
9,4374
