years,salary
2,3135
9,5680
9,603
1,4894
12,6195
1,1043
3,5588
3,4363
2,893
11,3997
11,6302
9,1674
5,6259
1,1506
6,5507
8,4605
11,3409
12,4493
9,824
11,4565
3,3349
8,3269
2,5709
3,1789
5,3961
12,5577
9,5782
1,4067
5,1793
10,603
6,965
3,4854
2,4000
7,1531
2,5051
5,786
7,3465
12,3274
8,1197
2,6398
10,1694
6,6700
9,1759
7,3086
2,952
12,738
6,1186
11,5306
3,6569
9,1084
6,2557
7,5455
11,2057
2,3553
7,5652
10,5574
1,2554
10,3603
9,2146
3,4747
1,3033
4,1348
3,3176
9,6159
12,4985
11,5375
1,3758
7,2835
2,4494
8,5063
6,2860
12,699
1,6560
8,1468
2,4627
11,3724
11,5131
9,1428
6,4883
12,1266
11,5125
12,911
9,6448
9,5482
3,1425
11,4068
11,888
3,1709
1,1986
4,5144
11,3063
11,5980
7,893
9,4860
6,4109
12,5070
6,3425
1,5265
5,4063
8,1858
2,6158
5,3285
8,1064
10,3941
11,1214
9,2377
9,5510
2,2281
8,2142
9,5970
9,6179
1,5808
12,4023
2,5321
3,981
5,1729
3,5218
9,5514
2,4738
6,1273
5,2512
3,6136
3,5172
4,6123
2,2912
11,3328
7,2979
7,3421
5,1421
7,1385
2,6089
7,3908
1,4780
6,5975
1,3621
10,1910
5,3069
3,3283
6,4739
10,5989
3,2494
4,4866
1,1030
5,4765
5,3688
12,4328
5,6101
6,4570
6,5789
11,4059
6,3696
6,4581
12,3218
12,1273
11,5856
5,4745
6,2251
5,953
9,1903
4,5465
7,3938
5,3881
1,2425
2,4743
3,5182
8,4853
7,3163
4,3515
7,3359
12,1399
5,5984
6,4678
11,4079
12,2025
1,2424
1,1174
12,4763
2,3194
2,3241
6,3335
2,5220
7,5679
9,1067
9,2738
8,4265
8,2065
11,6222
1,6095
5,6178
11,3917
8,1286
1,2358
4,4334
1,535
10,4487
2,6342
11,632
10,4719
11,2533
