years,salary
11,2639
1,3426
10,6296
3,5697
5,2675
5,5822
6,3081
2,3990
5,2146
5,3355
5,4533
2,923
8,1724
1,4367
10,3109
3,1358
4,5003
2,2603
6,670
12,2873
7,3101
2,1844
3,1469
9,1577
9,5995
8,1103
10,766
4,2107
9,1718
12,2861
4,1543
1,810
6,2579
10,2529
7,3638
4,3602
10,4430
4,999
5,4966
2,2368
10,2435
6,6111
12,3114
10,5434
5,4099
2,3993
4,1463
2,2946
10,5912
5,6170
12,1135
2,6104
7,1760
5,1930
12,5326
3,861
1,3184
9,4014
5,1662
12,2277
10,2970
8,3798
3,5592
7,4644
4,5969
7,5694
8,4101
1,5952
2,2543
1,3618
10,5723
3,1217
10,5376
1,1295
5,533
7,5594
11,1721
7,4352
10,5503
9,4120
10,4958
3,1180
8,1045
8,1901
5,1554
12,878
9,2477
1,2937
10,1084
4,4742
1,5705
5,1739
9,6092
1,4880
4,2573
8,2857
8,523
9,6012
12,6123
8,1529
3,2986
12,5880
3,6349
7,3144
11,3842
12,4728
6,4680
8,3335
8,4554
8,2815
9,5270
12,2601
6,4837
11,3553
2,6401
10,2177
1,6053
3,5183
1,2260
7,1030
2,6063
10,4651
5,1295
12,6581
8,2553
11,4010
8,1882
9,2208
4,3845
10,602
3,3417
8,4537
8,3340
3,4176
2,4278
2,5414
6,3893
12,1789
11,817
8,5421
5,4250
1,3123
4,1270
2,2459
11,6688
4,5586
1,6545
12,5084
1,6610
10,4452
8,5546
2,3493
12,3627
8,1036
10,933
10,619
5,6300
5,2787
5,5850
10,1646
11,2814
5,6357
2,3625
7,4831
11,4879
9,4406
3,5145
2,3121
7,4816
6,5457
2,4300
12,3967
4,1042
4,3208
12,1334
4,1146
11,5044
3,3238
10,5971
11,1084
3,2618
3,1193
3,4634
12,6598
12,6315
11,3017
9,6292
11,3194
12,4152
7,5187
9,4927
4,4165
4,2654
12,3566
1,2231
5,4707
6,4620
12,3545
2,5488
9,1504
6,4777
6,3076
11,665
11,5957
12,6472
12,6653
6,2561
1,1421
10,2450
10,1577
12,2430
7,5432
8,2162
1,5967
7,557
2,2551
4,6291
8,1252
10,1094
12,4218
11,657
10,3327
9,3019
5,6066
4,904
6,1018
5,6281
8,5280
11,3783
8,3458
4,6123
10,5512
11,4806
7,6483
3,3606
3,1923
12,5936
5,3171
10,6554
2,3387
11,3178
1,3067
2,5801
10,4005
6,1850
4,1966
7,6490
9,3684
11,5093
5,6103
12,4071
10,1403
1,6657
8,1946
3,1220
6,1413
3,5488
7,937
9,4505
11,5565
9,5782
2,2890
6,6435
3,4294
11,5340
1,4642
11,2304
1,5369
9,5998
7,1029
5,2111
1,4152
2,1061
3,1952
12,4043
11,1751
12,4954
11,3427
6,2942
1,6473
1,5634
6,853
3,5774
1,3339
2,4533
11,3393
12,6341
6,3544
7,5206
9,1039
8,4112
9,2943
8,1524
5,6241
7,3364
12,6387
6,2033
12,3199
5,725
6,4231
2,4662
12,2432
7,4396
10,2651
12,6445
3,4037
6,3001
8,6661
3,4068
7,2212
10,4989
3,6609
11,5144
10,5783
9,3394
3,5382
9,5456
3,2530
1,4717
12,4021
10,588
1,6426
7,2000
3,594
9,6633
12,1223
8,5100
6,2002
11,3758
9,4104
7,5662
12,4920
4,4757
8,1457
1,673
7,2004
6,592
12,3398
6,4302
7,3209
4,3925
6,1812
10,628
3,2102
11,1633
12,1614
6,2986
7,5416
5,950
9,4685
12,2658
2,1862
9,4826
12,2115
5,4788
1,1131
9,937
6,2929
10,2213
7,3793
7,5517
2,4706
11,5813
2,1484
12,5135
1,6696
4,3410
9,2467
12,1469
7,3763
12,5666
12,4539
3,4136
1,1317
4,3914
1,5510
2,5510
6,5882
1,6552
9,1525
8,1521
7,897
1,3542
9,5881
8,5604
8,4450
11,5505
3,4028
9,1744
2,1876
11,5383
9,4240
3,1363
3,5364
6,5080
11,6403
3,2558
6,816
4,6599
11,4154
